Dataset,Type,,Name,Type,SN,SP,ACC,MCC,AUPR,AUC,Dataset,ACC_Rank,MCC_Rank,AUPR_Rank,AUC_Rank
ABP,Mean,162,esm1_t34_670M_UR50D,Mean,0.91976401179941,0.9056047197640118,0.9126843657817107,0.8254514812586581,0.973187645751835,0.9671189773844642,ABP,17.0,17.0,15.0,14.0
ABP,Mean,164,esm1_t34_670M_UR100,Mean,0.9191740412979352,0.8943952802359882,0.9067846607669616,0.8138191970984884,0.9724640299274674,0.9653800436821816,ABP,22.0,22.0,16.0,18.0
ABP,Mean,166,esm1_t12_85M_UR50S,Mean,0.910914454277286,0.9315634218289084,0.9212389380530972,0.8426575413623048,0.9783067767650544,0.9726044848200068,ABP,6.0,6.0,4.0,4.0
ABP,Mean,168,esm1_t6_43M_UR50S,Mean,0.9150442477876106,0.928023598820059,0.9215339233038348,0.8431388686837932,0.9778836307231568,0.9718850340668808,ABP,5.0,5.0,5.0,5.0
ABP,Mean,170,Tape_bert-base,Mean,0.9085545722713864,0.9221238938053096,0.915339233038348,0.8307549515929626,0.9724289489418272,0.9654120656799018,ABP,11.5,12.0,17.0,17.0
ABP,Mean,172,ProtTrans_Prot_albert,Mean,0.9168141592920354,0.9073746312684364,0.912094395280236,0.8242255125576239,0.9481974859555468,0.9408725994378746,ABP,18.0,18.0,23.0,23.0
ABP,Mean,174,ProtTrans_Prot_bert_bfd,Mean,0.903244837758112,0.9238938053097344,0.9135693215339232,0.827315037107809,0.9734671377316912,0.966700603022946,ABP,16.0,16.0,14.0,16.0
ABP,Mean,176,ProtTrans_Prot_bert,Mean,0.913274336283186,0.9061946902654868,0.9097345132743364,0.8194895637831004,0.9711184731640308,0.9649964758399248,ABP,20.0,20.0,19.0,19.0
ABP,Mean,177,ProtTrans_Prot_t5_xl_bfd,Mean,0.9203539823008848,0.9126843657817107,0.916519174041298,0.8330628500782472,0.9766605409234224,0.9715226982013732,ABP,9.0,9.0,7.0,7.0
ABP,Mean,178,ProtTrans_Prot_t5_xl_uniref50,Mean,0.9221238938053096,0.9150442477876106,0.9185840707964602,0.8371891223961263,0.9770624548559153,0.9716995153192192,ABP,8.0,8.0,6.0,6.0
