Dataset_model_name,Type,SN,SP,ACC,MCC,AUPR,AUC
Nishant_AVP_esm2_t36_3B_UR50D,Mean,0.8833333333333333,0.7333333333333333,0.819047619047619,0.6284137539502507,0.9123018700785775,0.8870370370370371
Nishant_AVP_esm2_t33_650M_UR50D,Classification,0.8666666666666667,0.7333333333333333,0.8095238095238095,0.6086270034005168,0.9281892824309624,0.8803703703703702
Nishant_AVP_esm2_t33_650M_UR50D,Mean,0.85,0.7333333333333333,0.8,0.5892556509887895,0.9298719802938468,0.8948148148148147
Nishant_AVP+_esm2_t48_15B_UR50D,Classification,0.9333333333333332,0.9,0.9166666666666666,0.8337966824563376,0.978596907278846,0.9747222222222224
Nishant_AVP+_esm2_t48_15B_UR50D,Mean,0.9333333333333332,0.8666666666666667,0.9,0.8017837257372731,0.9828233721929722,0.9786111111111112
Nishant_AVP+_esm2_t36_3B_UR50D,Classification,0.9166666666666666,0.8666666666666667,0.8916666666666667,0.7843143397707556,0.96275039598381,0.9569444444444444
Nishant_AVP+_esm2_t36_3B_UR50D,Mean,0.9,0.9166666666666666,0.9083333333333332,0.8167801162284651,0.96897798338581,0.9625
Nishant_AVP+_esm2_t33_650M_UR50D,Classification,0.9,0.8,0.85,0.7035264706814485,0.971792931417462,0.9616666666666666
Nishant_AVP+_esm2_t33_650M_UR50D,Mean,0.9166666666666666,0.8666666666666667,0.8916666666666667,0.7843143397707556,0.9705719792731456,0.9616666666666668
Veltri_ABP_esm2_t48_15B_UR50D,Classification,0.9171348314606742,0.9662921348314608,0.9417134831460674,0.8844962789695664,0.9861418654343362,0.9836372459285444
Veltri_ABP_esm2_t48_15B_UR50D,Mean,0.9087078651685392,0.9676966292134832,0.9382022471910112,0.8779332864052263,0.9871931602705116,0.9847497948491352
Veltri_ABP_esm2_t36_3B_UR50D,Classification,0.9058988764044944,0.9676966292134832,0.9367977528089888,0.8752684128528279,0.9818538239593828,0.9771296237848756
Veltri_ABP_esm2_t36_3B_UR50D,Mean,0.9101123595505618,0.9648876404494382,0.9375,0.8763156061686038,0.98505578636494,0.9823274365610402
Veltri_ABP_esm2_t33_650M_UR50D,Classification,0.898876404494382,0.952247191011236,0.925561797752809,0.8523383789119038,0.9833517391173467,0.9807375173589196
Veltri_ABP_esm2_t33_650M_UR50D,Mean,0.8862359550561798,0.9606741573033708,0.9234550561797752,0.8492662925963956,0.9837353242687806,0.9812503945208938
Li_AVP_esm2_t48_15B_UR50D,Classification,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.4593340031782376,0.9620488232159798,0.8622448979591837
Li_AVP_esm2_t48_15B_UR50D,Mean,0.7571428571428571,0.7428571428571429,0.7542857142857143,0.4213504858001922,0.9552790380367984,0.8314285714285714
Li_AVP_esm2_t36_3B_UR50D,Classification,0.8142857142857143,0.6857142857142857,0.7885714285714286,0.4427188724235731,0.9585376050313644,0.8467346938775511
Li_AVP_esm2_t36_3B_UR50D,Mean,0.8142857142857143,0.7142857142857143,0.7942857142857143,0.4652707957157675,0.9578407654249256,0.8483673469387755
Li_AVP_esm2_t33_650M_UR50D,Classification,0.8071428571428572,0.8,0.8057142857142857,0.5231388366621641,0.961261579630538,0.8493877551020408
Li_AVP_esm2_t33_650M_UR50D,Mean,0.7785714285714286,0.7142857142857143,0.7657142857142857,0.4226215133868967,0.9586169471202406,0.8477551020408163
Yan_Deep_AMP_esm2_t48_15B_UR50D,Classification,0.7659574468085106,0.8191489361702128,0.7925531914893617,0.5859358744255436,0.8918835208715664,0.8812811226799457
Yan_Deep_AMP_esm2_t48_15B_UR50D,Mean,0.776595744680851,0.851063829787234,0.8138297872340425,0.6294071881098059,0.910119260568568,0.8997283838841105
Yan_Deep_AMP_esm2_t36_3B_UR50D,Classification,0.7659574468085106,0.8085106382978723,0.7872340425531915,0.5749889084999459,0.881346121601161,0.8600045269352649
Yan_Deep_AMP_esm2_t36_3B_UR50D,Mean,0.776595744680851,0.8191489361702128,0.7978723404255319,0.5962847939999438,0.9023803428558814,0.8929379809868717
Yan_Deep_AMP_esm2_t33_650M_UR50D,Classification,0.7340425531914894,0.7872340425531915,0.7606382978723404,0.5220155972154844,0.8671026503971517,0.8558171118153011
Yan_Deep_AMP_esm2_t33_650M_UR50D,Mean,0.776595744680851,0.8297872340425532,0.8031914893617021,0.6072426334955634,0.8852327155479136,0.8812811226799457
Sharma_ABP_esm2_t48_15B_UR50D,Classification,0.965646004480956,0.9648215209518882,0.965158924205379,0.9282138187213732,0.992207356710103,0.9945814441065548
Sharma_ABP_esm2_t48_15B_UR50D,Mean,0.9713716704007966,0.9587859975857906,0.9639364303178484,0.9260799735274928,0.9920562488024758,0.9943010784953736
Sharma_ABP_esm2_t36_3B_UR50D,Classification,0.9566840926064228,0.9432660803586824,0.948757131214344,0.8951179837366915,0.9827056225911976,0.9879869925123794
Sharma_ABP_esm2_t36_3B_UR50D,Mean,0.9614139905402042,0.9451629591308848,0.9518133659331705,0.9014850103098264,0.9880010967551094,0.99128492662865
